SampleID,Sample_Type,Primer,Eukaryota,Alphaproteobacteria,Gastropoda,Bacilli,Saccharomycetes,Actinobacteria,Gammaproteobacteria,Unassigned,Vampirivibrionia,Cyanobacteriia,Clostridia,Myxococcia,Bacteroidia,Planctomycetes,Anaerolineae,Vicinamibacteria,Intramacronucleata,Polyangiia,Fusobacteriia,Chrysophyceae,Phaeophyceae,Acidobacteriae,Oligoflexia,Corallinophycidae,Bacteriovoracia,Mamiellophyceae,Holothuroidea,Gemmatimonadia,Sordariomycetes,Phycisphaerae,Enoplea,Dinoflagellata,Phytomyxea,Thermoleophilia,Gracilibacteria,Clade_VII,Embryophyta,Ichthyosporea,Mediophyceae,Dinophyceae,Parcubacteria,Bivalvia,Mammalia,Incertae_Sedis, Incertae_Sedis,KD4-96,Bacillariophyceae,Rhodymeniophycidae,Ostracoda,Cryptophyceae,Chlamydiia,Ulvophyceae,MALV-I,Pucciniomycetes,Maxillopoda,Trebouxiophyceae,Chloroflexia,Hydrozoa,Negativicutes,Malasseziomycetes,Bacteria,Agaricomycetes
SUH190,Bulb of venom,18S,0.382657658,0,0.127027027,0,0.383108108,0,0,0.002252252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104954955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH191,Bulb of venom,18S,0.580405405,0,0,0,0.268918919,0,0,0.000675676,0,0,0,0,0,0,0,0,0.041216216,0,0,0,0,0,0,0.047747748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036036036,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0
SUH192,Bulb of venom,18S,0.34481982,0,0,0,0.061711712,0,0,0.033558559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276351351,0,0,0,0,0,0,0,0,0,0,0,0,0.174099099,0.109459459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH193,Bulb of venom,18S,0.484459459,0,0.443918919,0,0,0,0,0.000675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070945946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH194,Bulb of venom,18S,0.38536036,0,0,0,0.383108108,0,0,0.005630631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102252252,0,0,0,0.081531532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037837838,0,0,0,0,0,0,0,0,0.004279279
SUH282,Bulb of venom,16S,0.028828829,0.188063063,0,0.209234234,0,0,0.347297297,0.071621622,0,0,0,0,0.154954955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH283,Bulb of venom,16S,0.010810811,0.440765766,0,0.191441441,0,0.023198198,0.145945946,0.096396396,0,0,0,0,0.053828829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH284,Bulb of venom,16S,0.030630631,0.331306306,0,0.146171171,0,0.136486486,0.137387387,0.102702703,0.069594595,0,0,0,0.009684685,0,0,0,0,0,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH285,Bulb of venom,16S,0.046171171,0.210135135,0,0.064189189,0,0.073648649,0.313063063,0.058783784,0.016891892,0.051801802,0,0,0.050225225,0,0,0.045495495,0,0.069594595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH286,Bulb of venom,16S,0.014414414,0.276126126,0,0.351126126,0,0.088288288,0.045720721,0.11981982,0,0,0.042117117,0,0.028153153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01981982,0,0,0,0,0,0.010585586,0,0,0,0.003828829,0
Control_16S,Control_1,16S,0,0,0,0.306981982,0,0.053153153,0.197072072,0.059234234,0,0.383558559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Control_18S,Control_1,18S,0.301126126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353828829,0,0,0,0.077927928,0,0.191216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075900901,0,0,0,0,0,0,0,0,0,0,0,0
SUH195,Distal duct,18S,0.411261261,0,0,0,0.338513514,0,0,0,0,0,0,0,0,0,0,0,0.12027027,0,0,0.082657658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047297297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH196,Distal duct,18S,0.746621622,0,0.141666667,0,0.070720721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021846847,0,0,0,0,0,0,0,0,0,0,0,0.012387387,0,0,0,0,0,0,0,0,0.006756757,0,0,0,0
SUH197,Distal duct,18S,0.705405405,0,0.102927928,0,0.158558559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH199,Distal duct,18S,0.274099099,0,0,0,0.350675676,0,0,0.040315315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208108108,0,0.126801802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH287,Distal duct,16S,0.072522523,0.444369369,0,0.052252252,0,0.091891892,0.157657658,0.052252252,0,0.033558559,0,0.042567568,0,0.040315315,0,0.012612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH288,Distal duct,16S,0.061486486,0.418243243,0,0.07454955,0,0.175,0.053828829,0.059684685,0,0,0,0,0.059234234,0,0,0,0,0.049099099,0,0.008783784,0,0,0,0,0,0,0,0.04009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH289,Distal duct,16S,0.036486486,0.222297297,0,0.063513514,0,0.185135135,0.44009009,0.050675676,0,0.001801802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH290,Distal duct,16S,0.023423423,0.429954955,0,0.209459459,0,0.130855856,0,0.059684685,0.043918919,0.086261261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013063063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003378378,0,0,0
SUH291,Distal duct,16S,0.051576577,0.125225225,0,0,0,0.571396396,0.19009009,0.061711712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH205,Proximal duct,18S,0.747072072,0,0,0,0.217342342,0,0,0.011261261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024324324,0,0,0,0,0,0,0
SUH206,Proximal duct,18S,0.731531532,0,0.173873874,0,0.033783784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH207,Proximal duct,18S,0.463288288,0,0.358108108,0,0,0,0,0.038513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048873874,0.054054054,0,0,0,0,0,0,0,0,0,0.037162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUH208,Proximal duct,18S,0.704279279,0,0.10990991,0,0.185810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
